---- Page: "Statistics [Analog]"
---- Chart: electr_3_1_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: electr_3_1_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "electr_3_1_3.ewb"
---- Left Axis: LINEAR "Voltage (A)"
---- Right Axis: LINEAR "Voltage (B)"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	-1.500000000000e+000
1.000000000000e-014	-1.470000000000e+000
2.000000000000e-014	-1.440000000000e+000
4.000000000000e-014	-1.380000000000e+000
8.000000000000e-014	-1.260000000000e+000
1.600000000000e-013	-1.020000000000e+000
3.200000000000e-013	-5.400000000000e-001
6.400000000000e-013	4.200000000000e-001
1.000000000000e-012	1.500000000000e+000
1.064000000000e-012	1.500000000000e+000
1.192000000000e-012	1.500000000000e+000
1.448000000000e-012	1.500000000000e+000
1.960000000000e-012	1.500000000000e+000
2.984000000000e-012	1.500000000000e+000
5.032000000000e-012	1.500000000000e+000
9.128000000000e-012	1.500000000000e+000
1.732000000000e-011	1.500000000000e+000
3.370400000000e-011	1.500000000000e+000
6.647200000000e-011	1.500000000000e+000
1.320080000000e-010	1.500000000000e+000
2.630800000000e-010	1.500000000000e+000
5.252240000000e-010	1.500000000000e+000
8.753904176570e-010	1.500000000000e+000
1.276261848242e-009	1.500000000000e+000
1.948741207989e-009	1.500000000000e+000
3.293699927481e-009	1.500000000000e+000
5.254764094044e-009	1.500000000000e+000
7.831324261060e-009	1.500000000000e+000
1.194740651392e-008	1.500000000000e+000
1.828166844761e-008	1.500000000000e+000
2.541270906360e-008	1.500000000000e+000
3.271406936408e-008	1.500000000000e+000
4.586514400067e-008	1.500000000000e+000
5.930621167682e-008	1.500000000000e+000
8.618834702913e-008	1.500000000000e+000
1.111719098991e-007	1.500000000000e+000
