---- Page: "Statistics [Analog]"
---- Chart: Electr_9_5_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: Electr_9_5_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "Electr_9_5_3.ewb"
---- Left Axis: LINEAR "Voltage"
---- Bottom Axis: LINEAR "Time (seconds)"
---- Trace: 1 LEFT BOTTOM "A trace"
0.000000000000e+000	0.000000000000e+000
1.000000000000e-009	0.000000000000e+000
2.000000000000e-009	0.000000000000e+000
4.000000000000e-009	0.000000000000e+000
8.000000000000e-009	0.000000000000e+000
1.000000000000e-008	0.000000000000e+000
1.800000000000e-008	0.000000000000e+000
3.400000000000e-008	0.000000000000e+000
6.600000000000e-008	0.000000000000e+000
1.300000000000e-007	0.000000000000e+000
2.580000000000e-007	0.000000000000e+000
5.140000000000e-007	0.000000000000e+000
1.026000000000e-006	0.000000000000e+000
2.050000000000e-006	0.000000000000e+000
4.098000000000e-006	0.000000000000e+000
8.194000000000e-006	0.000000000000e+000
1.638600000000e-005	0.000000000000e+000
3.277000000000e-005	0.000000000000e+000
6.553800000000e-005	0.000000000000e+000
1.310740000000e-004	0.000000000000e+000
2.621460000000e-004	0.000000000000e+000
5.242900000000e-004	0.000000000000e+000
1.048578000000e-003	0.000000000000e+000
2.097154000000e-003	0.000000000000e+000
2.500000000000e-003	0.000000000000e+000
2.502500000000e-003	0.000000000000e+000
2.507500000000e-003	0.000000000000e+000
2.512214483557e-003	0.000000000000e+000
2.515561251309e-003	0.000000000000e+000
2.518671307840e-003	0.000000000000e+000
2.522909257944e-003	0.000000000000e+000
2.525000000000e-003	0.000000000000e+000
2.525156994546e-003	0.000000000000e+000
2.525470983638e-003	0.000000000000e+000
2.526098961822e-003	0.000000000000e+000
2.527354918190e-003	0.000000000000e+000
2.528805963396e-003	0.000000000000e+000
